,PC1,PC2,PC3,PC4,PC5
10. Early Childhoo::c8,0.06851691646366061,0.010531789298641783,-0.05555442219767426,0.06157466940498927,0.0033129916506886323
10. Early Childhoo::c10,0.0651394196628593,0.012703410395610515,-0.04948695452091499,0.021085211846545302,0.058681656451842014
10. Early Childhoo::c12,-0.040009697647282114,-0.08221506488294023,0.021628431150290863,0.1706404167368025,-0.08403646388982619
10. Early Childhoo::c14,-0.040575325071856905,-0.08527684519064377,0.021425120018187867,0.16861886652962746,-0.0812613955702577
10. Early Childhoo::c16,-0.03942893828127587,-0.07931287926810039,0.021608463144034307,0.17238057233432394,-0.08669092898800823
10. Early Childhoo::c18,-0.04897376334225489,-0.07431117834476647,0.03350990032956274,0.16089799243508457,-0.09148755410690328
10. Early Childhoo::c20,-0.03195067044146446,-0.09069791046977345,0.008540598930073038,0.1712560695959408,-0.05781062828963058
10. Early Childhoo::c22,0.09141521742659559,-0.056793667238324595,-0.027578216832216892,0.007872263945887133,0.0423676384976056
10. Early Childhoo::c24,0.0010087068381953732,0.06290490439941501,0.04258773895745309,0.11640121697713063,0.04105907202075577
10. Early Childhoo::c26,-0.0958631817201467,0.009834403351070789,-0.02733397198750059,0.031646463761021426,-0.06326675299008075
10. Early Childhoo::c28,-0.09547842328787651,0.011534297895158484,-0.02768896289306708,0.028607152262501517,-0.06297106517604396
10. Early Childhoo::c30,-0.09557388133729695,0.007355976135103784,-0.029909062207207016,0.02957040068779825,-0.06220399452845321
10. Early Childhoo::c32,-0.09518960568778587,0.02898563155133253,-0.007111947636897722,0.052970594772231414,-0.04522333661426835
10. Early Childhoo::c34,-0.09126005118112049,-0.025396915455429124,-0.003228815840150256,-0.019392348235748,-0.0575227219569106
10. Early Childhoo::c36,0.08263969785476016,0.051131454078748015,-0.07645536309459613,-0.08028588442588372,0.04675102802381705
10. Early Childhoo::c38,0.0813227960631015,0.04798167599162656,-0.07890009432465507,-0.08034312917488454,0.05050853438787749
10. Early Childhoo::c40,0.0837072391081759,0.053891901568552864,-0.0743547551720394,-0.08020842800623414,0.042674524704181496
10. Early Childhoo::c42,0.0814139401203271,0.04574000968463855,-0.07389207751897976,-0.0921330511209769,0.02414876473895926
10. Early Childhoo::c44,0.07539261213681749,0.0667638429473293,-0.09152000343042357,-0.07037066194638304,0.07338169955497804
11. Education::c2,-0.07636786329155965,-0.05780499591746136,0.07142493656397708,-0.0469226813179013,-0.00955031835714501
11. Education::c4,-0.08597787546517137,-0.02190733421871232,0.02565034092850653,-0.07130772729247944,-0.025681798611437916
11. Education::c6,-0.07812810991089982,0.02055733061890946,-0.009547634157334867,-0.05750537590357359,-0.03714975909421849
11. Education::c8,0.08427819439274034,-0.011640192096006663,-0.03153590645531864,0.02336789941278409,0.05827225987453034
11. Education::c10,0.08540999620842513,-0.03690151162566653,-0.02779650462359901,0.0425515322359383,0.06731704366493131
11. Education::c12,0.07931684380677399,-0.06044430964864208,-0.042601805789276526,0.06362254932247381,0.07358969733456674
11. Education::c26,-0.07893559375434718,0.015573052311720556,0.036695665057192045,0.0941609055529972,-0.09668720864453803
12. Child Protecti::c2,-0.07173499936030048,0.046024485211933606,-0.05053850391673554,0.0003266819848436103,-0.06789275106500332
12. Child Protecti::c4,-0.08077075619843399,0.052683824425884124,-0.05115768297693212,0.017452695755944943,-0.056028088135000875
12. Child Protecti::c6,-0.06819372419960008,0.05416753306586483,0.03591930453325825,-0.008425436915087316,0.026927189176473004
12. Child Protecti::c8,-0.09354835625500312,0.0012718905578588723,-0.015810130815239482,-0.022109325161526073,-0.03716993531369464
12. Child Protecti::c10,0.07658301089356903,-0.04137434090383551,-0.023454306274840138,-0.05599614600685511,-0.04454546494527903
12. Child Protecti::c12,0.07822929034008969,-0.031066561586189954,-0.019579495130678526,-0.04914671694157254,-0.046664053197140766
12. Child Protecti::c14,0.0784274583593461,-0.032198373129866585,-0.023596783604175456,-0.05031542020126357,-0.047844150148996255
12. Child Protecti::c16,0.07870382942253419,-0.031592161434421194,-0.02451838370336132,-0.04995369184451605,-0.04850148820106082
12. Child Protecti::c18,0.013175312034247199,-0.12847214047817537,0.1151438339374384,0.004485987606313042,-0.023089379434989628
12. Child Protecti::c22,-0.004644513868866273,0.11352673717647978,-0.08432891229851783,0.07662393323971754,-0.05879902709574712
12. Child Protecti::c24,-0.06366269072423185,0.0016935844999328663,0.0036621779651000853,-0.023885975824863997,0.0025054655491455412
12. Child Protecti::c26,-0.05678721589239639,0.001531098308153098,-0.013339619468559005,-0.02625612119198083,-0.03447677924429788
12. Child Protecti::c28,0.04364100900146664,0.016656354153482777,-0.1484333868039289,-0.09588203591423758,0.02477157696144052
12. Child Protecti::c30,0.047917374693528095,0.016378478761050388,-0.14572879538214042,-0.09259834241616906,0.025439978958056567
12. Child Protecti::c32,0.03887781114149658,0.0167945951481161,-0.15041438219778042,-0.09911931677405941,0.024482460845622216
12. Child Protecti::c36,0.05673932411548695,0.040030549642134934,-0.10379680382617519,-0.04739753129070654,0.03237973480858531
12. Child Protecti::c38,0.06306385849355098,0.08555451311055823,0.044259681669286045,0.01570603546511421,0.004187982470788911
13. Social Protect::c2,0.07471283661105312,0.004808100409912778,-0.038761169316509386,-0.03996146763187076,0.05888851914352312
13. Social Protect::c3,0.04147546796811762,0.00783520133481903,0.0012173018340119848,0.03111930130408684,-0.04235811593407843
13. Social Protect::c8,-0.006487236465402223,-0.10074367845059408,-0.12311738120209295,-0.060791998799686324,-0.06164411098432796
13. Social Protect::c9,0.00639280228347015,0.109587336124199,0.111923588530016,0.08750718976210345,0.03801050867183307
13. Social Protect::c10,0.004552312135643289,-0.09755053904661638,-0.10407094075538573,-0.008348217033117486,-0.0602339094874303
13. Social Protect::c11,0.009732027666078079,0.10364484766542954,0.12081657227941667,0.10187374860154597,0.0442379354170217
13. Social Protect::c12,0.01209359480889328,0.08586021810556688,0.13094113304304555,0.09063735282196507,0.05322409745690515
13. Social Protect::c13,-0.008113095737074865,-0.1130821875279579,-0.07973160684549338,-0.03800899551960303,-0.05950386564945237
13. Social Protect::c14,0.07641660616119132,-0.04588616825752262,0.013682865385348629,-0.047054829520359165,0.08291342360980787
13. Social Protect::c15,-0.06955947160275018,0.050230566292254496,0.039011035374786736,-0.03408881993784364,0.012618434792089036
13. Social Protect::c17,-0.08686177962179155,-0.015553763645577591,0.045074605716131616,-0.0017137774964723653,-0.016013921354291697
13. Social Protect::c19,-0.08527466695058021,-0.022248608592419603,0.028553905167699966,0.009543669277041752,-0.016783283613435836
13. Social Protect::c21,-0.07347161152756097,-0.015394137692950352,0.02808842024885245,0.020678025901867948,0.008074576669648297
14.1. WASH::c2,0.08117142777532056,-0.10502778839009319,0.03200480655131656,0.04974396300091274,0.014409738015698705
14.1. WASH::c4,0.08637294925372742,-0.04222157862436456,0.013277494321685023,-0.03630558797232265,0.05164178178420056
14.1. WASH::c6,-0.06084048570583338,0.003061369241306838,0.002164682193216007,0.07836527161333412,-0.10326691014312495
14.1. WASH::c8,-0.0753589885640282,0.040034719325073215,-0.03556426284540743,-0.04796088108418042,0.0063862191920721146
14.1. WASH::c10,-0.04748639902632654,0.07871728821651694,0.01190998496386162,0.06758809823928011,-0.0005514178469061943
14.1. WASH::c12,0.06550477454992905,-0.013411989026823494,0.045738127564575494,0.1183925186393325,-0.006841823078598582
14.1. WASH::c14,0.08944355974968203,-0.07724970844388619,0.00014866058082377057,0.03761690333673286,-0.00292230439796181
14.1. WASH::c16,-0.02646157799615219,0.09773110704528187,0.00638004960281995,-0.07581713818389504,0.029074003411460124
14.1. WASH::c18,-0.059687117172375063,0.06557035876586544,-0.035604079975868265,0.01874263945244436,0.020794864008605987
14.1. WASH::c20,-0.063722065100653,-0.0009509722180232213,0.028153050254987842,-0.028832009650910487,-0.031226098252755408
14.1. WASH::c22,0.08780122202139042,-0.07099507512306637,-0.014461552897071137,0.04061486370252383,0.007872841257007464
14.1. WASH::c24,-0.05252496759658469,0.058743727739139204,0.0029084127167462465,0.03110639041314787,-0.055535126353758936
14.1. WASH::c26,-0.04295066075705223,0.05020353961237165,0.02382943614203428,-0.10878485065024339,0.06702498733486496
14.2. WASH::c2,0.09699806897752188,-0.00296512435344588,0.027775201349993194,-0.006835095502969889,-0.016948088692991938
14.2. WASH::c6,-0.07865065514212846,0.03203839726039024,-0.027764279647370407,-0.05257220106629214,0.04257290643209757
14.2. WASH::c8,0.0978892672746322,0.013967689715306096,0.030466016258544594,0.06259464641924344,0.024183160027857687
14.2. WASH::c12,-0.06983465730144595,0.015712151452740197,-0.014340273534194387,-0.047790183729905886,0.0297042513385801
14.2. WASH::c14,0.0875890316106467,0.012773486185109267,0.04812277592701222,-0.016879109147600397,0.05363818161363094
14.2. WASH::c16,0.08758903161062442,0.012773486185422926,0.04812277592745273,-0.01687910914728634,0.05363818161376862
14.3. WASH::c6,-0.04562747776598323,-0.003709664191559885,-0.0157922630982006,-0.1172819315093685,0.07472365335445705
15. Adolescents::c2,-0.0363220591711179,-0.017811480280032408,-0.128104064404034,0.10923760151292482,0.12366335216095625
15. Adolescents::c4,-0.08788680777428186,0.06511412817919861,0.007720850351218489,0.02040213289215545,-0.0456571449728391
15. Adolescents::c6,-0.04952462143127508,-0.04159650865069456,-0.047837570300319786,0.019332587829181777,-0.0069460893792676745
15. Adolescents::c8,0.07459513215522186,-0.09410833989510359,-0.004406637030354086,-0.002410368054749,0.021874110282761594
15. Adolescents::c10,0.040348573110283656,0.10581603114842587,-0.018843639275746643,-0.0786462466599757,0.0772433626848787
15. Adolescents::c24,-0.0033655981051917516,-0.03202008991459625,0.09056918597312129,-0.0821291360811941,0.02219602312138843
15. Adolescents::c26,-0.028848846900186038,-0.07096948397145354,0.0893517730348542,-0.0336859406584912,-0.015914727008538968
15. Adolescents::c28,0.04249330966228228,-0.05447095876206429,0.13412715588578397,0.02044758630420876,0.02847022511664625
15. Adolescents::c30,0.05454031085151986,-0.06617843178787024,0.1349277573396824,0.033546549108816645,0.04198430548723658
15. Adolescents::c32,-0.058358932801489856,0.03563295088921078,-0.02714760121018009,-0.08768815594144155,0.03705333223354611
15. Adolescents::c34,-0.06403224685669207,0.020366636342638685,-0.032836256502484645,-0.10007800522705083,-0.020851238152983183
17. Women's Econ E::c2,-0.005931859362873318,-0.1321379904749562,-0.03991882702480299,-0.030185107344422844,-0.01023217947070831
17. Women's Econ E::c6,0.053011507455298555,0.01839539997138065,-0.05443452469172796,-0.019937131884117505,0.16676323970552512
17. Women's Econ E::c8,0.05618424593919905,0.015054110552993332,-0.031868943523123625,0.04626542178325935,0.1279278031357574
17. Women's Econ E::c10,-0.04928993253930387,0.022638782065250346,-0.06034439716768469,0.029809917059997162,-0.014472495763173046
17. Women's Econ E::c12,-0.0021591949652146427,0.08000593309693137,-0.05010242723183825,0.07969291333653421,0.018424634821283085
17. Women's Econ E::c14,-0.04639318182318362,0.042572771233643086,-0.06340926686125922,0.05091011272900122,-0.013908449425769112
17. Women's Econ E::c16,-0.06073251322921192,0.12205986131268633,-0.027200088382507277,0.0019185477121668125,-0.008304462567738436
17. Women's Econ E::c18,-0.03002611978891619,0.13661905843984062,-0.006979409203231129,0.00969069087545081,0.02771163010645085
17. Women's Econ E::c20,-0.05276792282503849,0.13396269530563887,-0.023149997160463447,0.0012576221866934232,-0.0002518723613649639
17. Women's Econ E::c22,0.050382954423584224,2.3251331762198027e-05,0.1378248206842624,0.04843509973727576,0.016449108057125964
17. Women's Econ E::c24,0.022820400303287015,-0.0005661148616789871,0.17034419981558802,0.0682649916842543,0.03249049493193889
17. Women's Econ E::c26,0.04561933286056661,-0.002695498836023359,0.1602213273139619,0.04887824262292169,0.03946917155670369
17. Women's Econ E::c28,0.06401702691828841,-0.036781493651894495,0.10623691245427534,0.051736162644748646,0.030189882720841357
17. Women's Econ E::c30,0.03721488800067366,-0.03081354654486857,0.13532713781400843,0.10827905728143006,0.03454432390124217
17. Women's Econ E::c32,0.0576124377355645,-0.04075029498525596,0.12687006857871652,0.06869727138034244,0.046261112366328426
17. Women's Econ E::c38,0.06882351093081977,0.06306962090358509,-0.010813121886362628,-0.006594830895291466,0.08618200443667352
17. Women's Econ E::c39,0.06719880640857197,0.07855636117332278,0.006388947026082055,0.0007513326015382251,0.06813122132259053
18. Migration::c2,-0.038476827545247186,-0.03391236391060432,-0.06355143423169365,0.08046319002039012,0.04609548532220024
18. Migration::c3,0.020232649853846766,-0.08842777709237394,0.060291445366827186,-0.06574106243814853,0.0770128898106633
18. Migration::c4,-0.04182639510717181,-0.005035441300532852,-0.05442305201447508,0.07989411584858817,-0.015677649132724535
18. Migration::c5,-0.04416380115702858,-0.001044472780800808,-0.052585566558971876,0.07610674716314975,-0.016492508111782548
18. Migration::c6,-0.045306744659898014,-0.03364517071151562,0.02477191181394566,0.012591688923463802,-0.07982944498323048
18. Migration::c7,-0.05769488653039022,-0.014593932711774263,-0.037491862696712605,0.08920904899239333,-0.04665497612419678
18. Migration::c8,-0.053595538083934496,-0.09379717495995316,0.043438278999031237,0.09376413847539507,-0.00762576400173936
18. Migration::c9,-0.05200396091507991,-0.08991127951168451,0.04560314531437682,0.09097283672575562,-0.005853450314154878
18. Migration::c10,-0.0415160526165195,-0.11051470098609642,-0.023818094476268464,0.10893993365073623,0.05536109462666114
18. Migration::c11,-0.043195003909624226,-0.10935343430240163,-0.02325491109697295,0.10322135867956393,0.05971563578268408
18. Migration::c12,-0.052574238877221055,-0.07338843954312936,-0.03663876215697123,0.008684010714329997,0.00903215823545227
18. Migration::c13,0.05257423887721977,0.07338843954313191,0.03663876215697412,-0.008684010714340577,-0.009032158235445986
18. Migration::c14,-0.043854511669178586,-0.06121391809406084,-0.048028788876552535,0.08760708617286107,0.07011329862510508
18. Migration::c15,-0.0438318960092105,-0.05731877157121062,-0.048283056549946274,0.0815150476812649,0.07121273246255164
18. Migration::c16,-0.053003374601064135,-0.07528773956516632,-0.008501870271890088,0.07300527828153323,0.00827858114018869
18. Migration::c17,0.05300337460106412,0.07528773956516632,0.008501870271890123,-0.07300527828153328,-0.008278581140188609
19. Economic Indic::c2,0.07418938391261796,0.05117465561067355,0.07460385066593643,-0.0401299167879481,-0.005815327230182438
19. Economic Indic::c4,0.040931136268179985,0.01724935296824944,0.09587635933720422,-0.021221118108051516,-0.10222134247925563
19. Economic Indic::c6,0.08023714259089082,0.037426906286964365,0.04852235370193638,0.04775439960119023,-0.023674838043660655
19. Economic Indic::c8,0.05562804548026884,0.05352918295145317,0.04378983918438386,0.021154368874869583,-0.0761563292744077
19. Economic Indic::c10,0.06406191405104524,0.0012188077759009673,0.0590674398205133,0.009202215342813722,0.007362099465359545
19. Economic Indic::c12,0.0723780603258365,0.022185498891523624,0.036167651633119004,0.04854681519636535,0.008509648615636965
19. Economic Indic::c14,0.013801974397051789,0.0379592979438879,-0.014274667839072979,0.013774966024007086,-0.0718947388310795
19. Economic Indic::c16,0.03467402736952494,-0.05064469702058179,-0.044309825867346435,0.05888049745082,0.04255947660853309
19. Economic Indic::c18,-0.03540812475546277,-0.019488424957324717,-0.1074199690897446,0.11358820009275657,0.05559594482031128
19. Economic Indic::c20,-0.05654156409115267,0.023548844257817152,0.03122427763924743,-0.011107534145356831,-0.11305072598046917
